# FUND scenario
USA,10.79
CAN,-8.03
WEU,9.03
JPK,9.15
ANZ,18.84
EEU,7.75
FSU,4.5
MDE,16.48
CAM,20.67
LAM,21.25
SAS,21.78
SEA,23.7
CHI,4.54
MAF,20.57
SSA,23.95
SIS,24.48
